id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
SE01688;Göteborg;Gothenburg;Göteborg-Gothembourg;627;1;SE;SE2;SE23;SE232;-181985;864099;26;SE11100;Göteborg; ; ;0;PIA_Göteborg;99;0; ; ;276;35;0
ES00638;Zaragoza;Zaragoza;Saragosse;615;1;ES;ES2;ES24;ES243;-1317140;-787450;10;ES10424;Zaragoza; ; ;0; ;99;0; ; ;24;27;0
IT01100;Genova;Genoa;Gênes;611;1;IT;ITC;ITC3;ITC33;-485682;-598670;16;IT10734;Genova; ; ;0;PIA_Genova;99;1;IT04;Genova metropolitan area;83;26;0
IT01035;Catania;Catania;Catane;602;1;IT;ITG;ITG1;ITG17;3311;-1392795;16;IT10699;Catania; ; ;0;PIA_Cantania;99;0; ; ;0;18;0
NL01346;Den Haag;The Hague;La Haye;589;1;NL;NL3;NL33;NL332;-722125;284290;21;NL10886;Den Haag;NL106;Randstad;1;PIA_Amsterdam;99;1;NL02;Randstad Holland West;760;38;0
FR00851;Toulouse;Toulouse;Toulouse;588;1;FR;FR6;FR62;FR623;-1090447;-614799;12;FR10575;Toulouse; ; ;0;PIA_Toulouse;99;0; ; ;244;29;0
UK01797;Bristol;Bristol;Bristol;568;1;UK;UKK;UKK1;UKK11;-1209096;306019;29;UK11172;Bristol; ; ;0;PIA_Bristol;99;0; ; ;313;38;0
LT01312;Vilnius;Vilnius;Vilnius;554;0;LT;LT0;LT00;LT00A;661113;568485;17;LT10865;Vilnius; ; ;0; ;99;0; ; ;126;10;1
DE00366;Saarbrücken;Saarbrücken;Sarrebruck;552;1;DE;DEC;DEC0;DEC01;-580739;-53753;7;DE10264;Saarbrücken-Forbach; ; ;0;PIA_Saarbrücken;99;0; ; ;331;27;0
ES00542;Malaga;Malaga;Malaga;543;1;ES;ES6;ES61;ES617;-1725091;-1252577;10;ES10379;Malaga; ; ;0;PIA_Malaga;99;1;ES06;Malaga;227;38;0
FR00801;Nantes;Nantes;Nantes;536;1;FR;FR5;FR51;FR511;-1241703;-171172;12;FR10536;Nantes; ; ;0; ;99;0; ; ;172;27;0
UK01879;Leeds;Leeds;Leeds;534;1;UK;UKE;UKE4;UKE42;-1076866;546588;29;UK11204;Leeds - Bradford;UK105;Leeds - Bradford;0;PIA_Manchester;99;0; ; ;744;29;0
UK01907;Nottingham;Nottingham;Nottingham;532;1;UK;UKE;UKE2;UKE22;-1077221;447545;29;UK11218;Nottingham-Derby;UK109;Nottingham-Derby;0;PIA_Sheffield;99;0; ; ;499;30;0
IT01084;Firenze;Florence;Florence;525;1;IT;ITE;ITE1;ITE14;-302319;-683586;16;IT10725;Firenze;IT106;Firenze;0;PIA_Firenze;99;1;IT05;Firenze metropolitan area;156;32;0
PL01463;Gdansk;Gdansk;Gdansk;519;0;PL;PL6;PL63;PL633;229832;499286;23;PL10956;Gdansk;PL102;Gdansk;0; ;99;0; ; ;174;9;0
DE00310;Leipzig;Leipzig;Leipzig;516;1;DE;DED;DED5;DED51;-183032;152516;7;DE10220;Leipzig;DE106;Leipzig-Halle;0;PIA_Leipzig;99;1;DE10;Leipzig-Halle;418;22;0
DE00321;Mannheim;Mannheim;Mannheim;508;1;DE;DE1;DE12;DE126;-470129;-35320;7;DE10229;Mannheim;DE109;Rhein - Neckar;0;PIA_Frankfurt-am-Main;99;1;DE06;Rhein - Neckar;1180;35;0
UK01782;Belfast;Belfast;Belfast;501;1;UK;UKN;UKN0;UKN01;-1332866;703361;29;UK11165;Belfast; ; ;0;PIA_Belfast;99;0; ; ;283;30;0
UK01919;Portsmouth;Portsmouth;Portsmouth;500;1;UK;UKD;UKD1;UKD11;-1122730;212787;29;UK11226;Portsmouth/Southampton;UK110;Portsmouth-Southampton;0;PIA_Southampton;99;0; ; ;523;32;0
IT01291;Venezia;Venice;Venise;483;1;IT;ITD;ITD3;ITD35;-210665;-497941;16;IT10849;Venezia;IT118;Venezia - Padova;0;PIA_Venezia;99;1;IT01;Venezia - Padova metropolitan area;468;46;0
UK01840;Edinburgh;Edinburgh;Édimbourg ;478;1;UK;UKM;UKM2;UKM23;-1130773;801312;29;UK11186;Edinburgh; ; ;0;PIA_Glasgow;99;0; ; ;258;45;0
ES00559;Murcia;Murcia;Murcie;476;1;ES;ES6;ES62;ES620;-1412264;-1193605;10;ES10388;Murcia; ; ;0;PIA_Murcia;99;1;ES07;Murcia - Orihuela;147;19;0
FR00804;Nice;Nice;Nice;472;1;FR;FR8;FR82;FR823;-625345;-667053;12;FR10539;Nice;FR108;Nice-Côte d'Azur-San Remo;0;PIA_Nice;99;1;FR02;Nice-Côte d'Azur-San Remo;122;31;0
BE00036;Liège;Liège;Liège;451;1;BE;BE3;BE33;BE332;-663770;112094;2;BE10029;Liège;BE102;Euroregio MAHL;0;PIA_Liège;99;1;BE02;Euroregio MAHL;1403;23;0
SK01732;Bratislava;Bratislava;Bratislava;444;0;SK;SK0;SK01;SK010;161714;-203601;28;SK11255;Bratislava; ; ;0; ;99;1;AT01;Wien - Bratislava;267;18;1
UK01880;Leicester;Leicester;Leicester;442;1;UK;UKC;UKC2;UKC23;-1082003;411708;29;UK11205;Leicester; ; ;0;PIA_Leicester;99;0; ; ;191;32;0
DE00295;Karlsruhe;Karlsruhe;Karlsruhe;440;1;DE;DE1;DE12;DE122;-481171;-88856;7;DE10207;Karlsruhe;DE109;Rhein - Neckar;0;PIA_Frankfurt-am-Main;99;1;DE06;Rhein - Neckar;1180;36;0
IT01001;Bergamo;Bergamo;Bergame;438;1;IT;ITC;ITC4;ITC46;-415717;-463488;16;IT10680;Bergamo;IT113;Milano;0;PIA_Milano;99;1;IT03;Milano metropolitan area;604;31;0
ES00569;Palma de Mallorca;Palma de Mallorca;Palma;433;1;ES;ES5;ES53;ES532;-1054878;-1075733;10;ES10394;Palma de Mallorca; ; ;0; ;99;0; ; ;135,506;24;0
IT01005;Bologna;Bologna;Bologne;432;1;IT;ITD;ITD5;ITD55;-291863;-604728;16;IT10683;Bologna; ; ;0;PIA_Bologna;99;0; ; ;237;35;0
